   cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	          correltot	           correlsd	          correlmed
     0TH	                 32	                150	                  3	                  6	                310	                110	            30.9049	                383	            241.125	            83.3995	           -51.2892	            29.9595	            8.29973	             36.135	           0.016127	           0.998903	                  0	             16.265	        1.26557e+06	            398.381	               3320	            2159.51	        5.28592e+06	               1878	        2.46775e+06	                755	          9.338e+06	               3327	        3.75272e+06	               1100	        1.64225e+07	            10907.5	              43928
     0TT	                 32	                150	                  4	                  7	                310	                100	            27.3224	                359	            249.997	            107.772	           -67.6518	            13.5968	            9.76089	            29.6169	          0.0199042	           0.989673	                  0	            17.0311	        1.28711e+06	            402.072	               3566	            2159.51	        5.78685e+06	               1739	        3.89367e+06	               1050	        1.13112e+07	               3650	        5.96588e+06	               1607	        1.47586e+07	            11280.2	              41874
     0HH	                 33	                155	                  1	                  4	                310	                130	             33.111	                428	            217.556	            133.904	             29.872	            28.6039	            9.12328	            37.4587	          0.0156504	           0.994049	           0.373951	            16.6762	        1.68398e+06	            594.407	             3986.5	            2175.54	        5.76995e+06	               1756	        3.17885e+06	                818	        1.01744e+07	               3186	        5.49446e+06	               1426	        1.93161e+07	            12028.9	              45721
     0HT	                 33	                155	                  2	                  5	                310	                140	            31.9565	                409	            245.046	            128.868	           -10.6644	            16.9007	            9.98838	            32.5554	          0.0166782	           0.992489	           0.704971	            16.7412	        1.73733e+06	            497.701	               4287	            2175.54	        6.65513e+06	               1948	        4.19608e+06	               1063	        1.11378e+07	               3446	        6.21426e+06	               1628	        1.74868e+07	            13325.6	              43295
     0TH	                 33	                155	                  3	                  6	                310	                110	            33.8589	                421	            240.485	             82.791	           -50.0309	            30.9622	            8.31766	            37.1734	           0.016127	           0.998903	           0.590801	            16.1414	        1.42762e+06	            450.743	               3453	            2175.54	        5.67258e+06	               1979	        2.64362e+06	                794	        9.83564e+06	               3504	        3.84343e+06	               1131	        1.91408e+07	            12048.5	              46347
     0TT	                 33	                155	                  4	                  7	                310	                100	            30.8104	                416	            249.377	            109.608	            -67.609	            12.3182	            9.96256	             30.476	          0.0199042	           0.989673	            0.69759	            17.4278	        1.51882e+06	            388.995	               3650	            2175.54	        6.51072e+06	               1943	        4.45937e+06	               1197	        1.23727e+07	               3975	        6.61857e+06	               1796	        1.76555e+07	            13167.7	              42845
     0HH	                 34	                160	                  1	                  4	                310	                130	             35.998	                450	            217.196	            133.142	             37.469	            28.4319	            8.72421	            38.2166	          0.0156504	           0.994049	            0.57741	            16.2718	        1.68555e+06	            549.242	             3797.5	            2160.58	        5.88266e+06	               1880	        3.15217e+06	                854	        1.04783e+07	               3420	        5.64057e+06	               1526	        2.03802e+07	            11558.7	              46002
     0HT	                 34	                160	                  2	                  5	                310	                140	            35.0462	                434	            245.689	            128.968	           -25.5081	            17.6359	            9.18881	            33.8812	          0.0166782	           0.992489	           0.617949	            16.1479	        1.74706e+06	            480.855	             4022.5	            2160.58	        6.55654e+06	               1993	        4.24066e+06	               1123	        1.11864e+07	               3582	        6.30356e+06	               1707	        1.84938e+07	              11958	              43083
     0TH	                 34	                160	                  3	                  6	                310	                110	            37.3554	                461	            239.876	            82.2451	           -50.3791	            31.1521	            7.83476	            37.3028	           0.016127	           0.998903	           0.699289	            16.1086	        1.55149e+06	            469.797	               3443	            2160.58	        6.01505e+06	               2130	        2.84345e+06	                858	        1.04204e+07	               3755	        4.28552e+06	               1259	        2.09616e+07	            11584.6	              46066
     0TT	                 34	                160	                  4	                  7	                310	                100	            31.5704	                414	            249.447	             110.01	           -65.4632	            12.3271	            9.76223	            31.3374	          0.0199042	           0.989673	           0.151999	            16.9409	        1.50473e+06	             425.96	               3651	            2160.58	         6.4244e+06	               1951	        4.50522e+06	               1231	        1.21186e+07	               3982	        6.66135e+06	               1850	        1.76796e+07	            12555.4	              42908
