   cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	        AvgNgbAngle	          correltot	           correlsd	          correlmed	         Old_pole_X	         Old_pole_Y	       Young_pole_X	       Young_pole_Y	         OldPoleAge	       Bary_Neigh_X	       Bary_Neigh_Y
     0HT	                 12	                 30	                  4	                  3	                 18	                 30	            81.2179	               1445	            675.976	            416.669	           -2.96339	            34.6614	            11.3735	            56.4417	          0.0268272	           0.993684	            1.13677	            23.9416	        5.34578e+07	            8477.17	              38142	                NaN	        1.36667e+08	               4184	        1.00476e+08	               2965	         2.1343e+08	               6493	         1.5407e+08	               4532	           -2.98295	        5.34578e+07	            8477.17	              38142	            715.942	            423.867	            636.011	             409.47	                  3	            654.368	            390.752
     0TH	                 13	                 33	                  1	                  4	                 18	                 30	            85.8277	               1529	            611.679	            372.586	         -0.0096099	            42.8992	            12.5901	            61.7355	          0.0237792	           0.969233	            2.05207	            24.0967	        5.47495e+07	            8746.23	              36472	                NaN	        1.43841e+08	               4382	        1.07753e+08	               3201	        2.16265e+08	               6610	        1.62274e+08	               4836	           0.413309	        5.47495e+07	            8746.23	              36472	            568.767	            372.998	            654.591	            372.174	                  2	            654.922	            390.368
     0TT	                 13	                 33	                  2	                  5	                 18	                 24	            95.8153	               1835	              683.8	             385.96	            -2.4836	            35.2842	            12.8423	            59.8512	          0.0252344	           0.925153	            3.48927	            25.1203	        6.85856e+07	            8789.49	              39168	                NaN	        1.69805e+08	               5155	        1.20282e+08	               3530	         2.9262e+08	               8858	        1.73475e+08	               5105	           -3.13269	        6.85856e+07	            8789.49	              39168	            721.706	            415.257	            645.894	            356.663	                  1	            636.637	            395.098
     0HH	                 13	                 33	                  3	                  6	                 18	                 24	              104.4	               1810	            626.043	            394.776	        0.000749584	            23.2833	            14.1223	            54.8207	          0.0277952	            0.99795	            3.52641	            23.9854	        6.32239e+07	            8537.05	            35934.5	                NaN	        1.81773e+08	               5443	        1.52683e+08	               4499	        3.24088e+08	               9851	        2.37347e+08	               7029	           0.529823	        6.32239e+07	            8537.05	            35934.5	            573.843	            394.737	            678.243	            394.815	                  1	            655.889	            392.159
     0HT	                 13	                 33	                  4	                  3	                 18	                 30	             88.385	               1672	            672.189	            417.932	           -3.00966	            33.6815	            12.0697	            59.2356	          0.0268272	           0.993684	            2.38903	            25.2263	        6.02991e+07	             9506.2	              36905	                NaN	        1.53988e+08	               4692	         1.1328e+08	               3356	        2.52975e+08	               7729	        1.68896e+08	               5052	           -2.97677	        6.02991e+07	             9506.2	              36905	            715.997	            423.746	            628.381	            412.118	                  3	            654.922	            390.368
     0TT	                 14	                 36	                  1	                  5	                 18	                 24	            103.134	               1843	            680.336	            381.658	           -2.44516	            34.3793	            12.2479	            59.9539	          0.0252344	           0.925153	            2.43943	            23.6142	        7.08335e+07	            7460.98	              40175	                NaN	        1.65814e+08	               5062	        1.20718e+08	               3518	        2.59855e+08	               7884	        1.74052e+08	               5075	            -3.0855	        7.08335e+07	            7460.98	              40175	            719.895	            414.737	            640.778	            348.578	                  1	            635.152	            395.598
     0TH	                 14	                 36	                  2	                  4	                 18	                 30	            91.0486	               1477	             611.21	            372.637	          0.0634632	            41.5876	            12.0717	            60.9964	          0.0237792	           0.969233	            1.74032	            22.5568	        5.42654e+07	            7636.74	              37622	                NaN	        1.49663e+08	               4560	        1.13918e+08	               3369	        2.44614e+08	               7475	         1.7717e+08	               5253	           0.419468	        5.42654e+07	            7636.74	              37622	            565.777	             369.75	            656.643	            375.524	                  2	            654.128	            388.429
     0HH	                 14	                 36	                  3	                  6	                 18	                 24	            112.491	               1730	            627.919	            395.199	          0.0449962	            19.9837	            15.0164	            54.6754	          0.0277952	            0.99795	            2.69686	            21.9341	         6.2448e+07	            7517.19	              37488	                NaN	        1.83207e+08	               5546	        1.57286e+08	               4688	         3.3799e+08	              10205	        2.57875e+08	               7534	           0.521534	         6.2448e+07	            7517.19	              37488	            571.731	            392.669	            684.108	            397.729	                  1	            652.624	            391.084
     0HT	                 14	                 36	                  4	                  3	                 18	                 30	            98.8455	               1671	            666.327	            418.957	           -3.07415	            32.3082	            11.0479	             59.757	          0.0268272	           0.993684	            3.48683	            22.8009	        6.16985e+07	            8423.49	              38153	                NaN	        1.52866e+08	               4655	        1.16658e+08	               3425	        2.32013e+08	               7142	        1.72903e+08	               5172	           -2.92189	        6.16985e+07	            8423.49	              38153	            715.637	            422.287	            617.016	            415.626	                  3	            654.128	            388.429
     0TH	                 15	                 39	                  1	                  4	                 18	                 30	            100.335	               1633	            610.025	            372.405	           0.120626	            41.4387	            12.4054	            62.0419	          0.0237792	           0.969233	            3.09534	            22.7738	        5.96562e+07	            8100.62	              37483	                NaN	        1.63376e+08	               4952	        1.27199e+08	               3754	        2.68285e+08	               8204	        1.97599e+08	               5887	           0.349592	        5.96562e+07	            8100.62	              37483	            560.222	            366.369	            659.828	            378.442	                  2	            641.124	            385.766
